AminoAcid,Count,Frequency
L,142379,0.10705348952615829
A,126893,0.0954097054091039
G,97830,0.07355749710521962
V,94237,0.07085595272109355
I,79950,0.060113685920089026
E,76890,0.057812899442096874
S,76865,0.05779410216694988
R,73620,0.05535421585286997
T,71428,0.05370607076798147
D,68213,0.05128874118407795
Q,59178,0.044495405945954074
P,59034,0.044387133641107385
K,58574,0.04404126377840268
N,51896,0.03902013564113746
F,51796,0.03894494654054948
M,37657,0.028313959608415165
Y,37628,0.02829215476924465
H,30144,0.02266500248124032
W,20297,0.01526113174634205
C,15468,0.011630250078948556
U,3,2.255673017639363e-06
